recording_time,recording,dcs_version,map,airport,runway,variant,configuration_status,flaps_ratio,flaps_label,median_throttle_ratio,brake_release_time_s,pitch_response_time_s,liftoff_time_s,roll_time_s,pitch_response_ias_kt,liftoff_ias_kt,pitch_response_distance_ft,liftoff_distance_ft,liftoff_agl_ft,ff_telemetry,rpm_telemetry,notes
2026-08-16T04:27:53.977Z,Tacview-20260816-002753-DCS-Nevada Takeoff Test.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),UNLABELED,0.00,UP,0.95,63.36,93.38,95.25,31.89,164.4,170.1,4544,5079,16.7,NO,NO,"Motion measured from attached Tacview; no cockpit FF or RPM telemetry"
2026-08-16T04:37:51.924Z,Tacview-20260816-003751-DCS-tempMission.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),CORRELATED_USER_SEQUENCE,0.29,MANEUVER,0.96,155.34,184.38,186.57,31.23,161.1,165.0,4237,4853,15.7,NO,NO,"Maneuver-flap sequence aligns with the user-reported 6.5-ANU test; Tacview sees pitch response, not stick-commanded rotation"
2026-08-16T04:48:55.211Z,Tacview-20260816-004855-DCS-tempMission.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),UNLABELED,0.00,UP,0.97,248.47,275.11,277.74,29.27,159.4,166.6,3803,4543,15.4,NO,NO,"Motion measured from attached Tacview; no cockpit FF or RPM telemetry"
2026-08-16T04:55:57.755Z,Tacview-20260816-005557-DCS-Nevada Takeoff Test.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),UNLABELED,0.29,MANEUVER,1.00,41.66,65.00,67.41,25.75,160.0,169.3,3220,3904,17.4,NO,NO,"Motion measured from attached Tacview; no cockpit FF or RPM telemetry"
2026-08-16T04:57:50.274Z,Tacview-20260816-005750-DCS-tempMission.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),UNLABELED,0.29,MANEUVER,1.01,32.78,55.47,57.88,25.10,163.5,174.4,3232,3932,14.9,NO,NO,"Motion measured from attached Tacview; no cockpit FF or RPM telemetry"
2026-08-16T05:06:49.806Z,Tacview-20260816-010649-DCS-tempMission.txt.acmi,DCS 2.9.28.26385,Nevada,Henderson Executive,35L,F-14B(U),UNLABELED,0.00,UP,1.00,79.47,102.70,105.55,26.08,164.3,176.5,3388,4223,15.9,NO,NO,"Motion measured from attached Tacview; no cockpit FF or RPM telemetry"
